(147b,2105) (ce3,2105)
(6b,e41) (503,e41)
(25fd,2d8f) (2a05,2d8f)
(5a7,ca7) (427,ca7)
(83,163) (ab,163)
(a75,bab) (42d,bab)
(a61,bb1) (8e1,bb1)
(959,ad5) (229,ad5)
(215,12e9) (245,12e9)
(b6f,1ccd) (1acf,1ccd)
(121f,1af5) (adb,1af5)
(b,23) (b,23)
(1e5,14ad) (371,14ad)
(13,cb) (73,cb)
(b,16d) (83,16d)
(3d1,817) (551,817)
(3cb,f1d) (b63,f1d)
(47,a3f) (47,a3f)
(209,e63) (449,e63)
(b41,107f) (691,107f)
(3,55) (2b,55)
(16dd,18af) (1475,18af)
(bc5,1483) (95d,1483)
(35f,4b7) (2ff,4b7)
(61f,e99) (2bf,e99)
(51,553) (469,553)
(1b5,2e1) (125,2e1)
(ad,143) (5,143)
(3b,1e1) (e3,1e1)
(277,637) (7f,637)
(1b65,3613) (125,3613)
(12fd,1dad) (7e5,1dad)
(359,991) (3f5,991)
(40f,4a5) (2cf,4a5)
(1df,a0d) (2cf,a0d)
(407,292d) (cd7,292d)
(ed5,114d) (641,114d)
(24d,21a3) (16bd,21a3)
(5a3,1705) (eb7,1705)
(4a9,e99) (359,e99)
(160f,1961) (136f,1961)
(1589,1def) (479,1def)
(29b,66b) (11b,66b)
(25f,637) (55f,637)
(c1,69b) (2a1,69b)
(3ad,ac7) (65,ac7)
(63,1f9) (12b,1f9)
(89b,9e9) (73,9e9)
(791,8b7) (371,8b7)
(343,56f) (a3,56f)
(139,439) (61,439)
(245,499) (335,499)
(6bb,294d) (973,294d)
(b4d,1687) (e95,1687)
(d2d,197f) (11f5,197f)
(4f9,13c7) (12a9,13c7)
(1e7,797) (58f,797)
(bf,3af) (2ef,3af)
(d8d,19f9) (595,19f9)
(229,353) (a9,353)
(d39,ee3) (559,ee3)
(bd7,fc1) (cc7,fc1)
(29d,31f) (2d5,31f)
(b11,ccd) (b71,ccd)
(139,4ed) (109,4ed)
(1bd,235) (95,235)
(65,d7) (5,d7)
(11b,d33) (92b,d33)
(179,1ed) (109,1ed)
(c49,191f) (f1,191f)
(59,10eb) (c89,10eb)
(dfb,1483) (4d3,1483)
(4a9,b41) (a85,b41)
(5dd,ff7) (3fd,ff7)
(cd1,13a5) (789,13a5)
(3c7,14bf) (dd7,14bf)
(13,4ed) (29b,4ed)
(1789,1961) (eb9,1961)
(b5d,e05) (cf5,e05)
(65,9b) (65,9b)
(91f,1963) (79f,1963)
(341,457) (1f1,457)
(613,9e9) (5bf,9e9)
(819,a27) (429,a27)
(173,2fb) (83,2fb)
(169,1c3) (29,1c3)
(13f,2ed) (13f,2ed)
(4e1,6cb) (301,6cb)
(9d,12d) (3d,12d)
(4f,797) (28f,797)
(157,46d) (38b,46d)
(5f9,73d) (209,73d)
(55,b9) (3d,b9)
(15b,24d) (107,24d)
(a1,583) (3a1,583)
(119,16d) (29,16d)
(38f,1175) (b0f,1175)
(e17,14e9) (1287,14e9)
(819,a27) (429,a27)
(99b,1535) (653,1535)
(6b,131) (53,131)
(893,2707) (189b,2707)
(2bd,4df) (365,4df)
(1081,24a3) (201,24a3)
(14b3,1c01) (847,1c01)
(37d,3eb) (35,3eb)
(24b,2ff) (53,2ff)
(1219,3319) (3049,3319)
(67,b41) (26b,b41)
(9c7,d67) (547,d67)
(49d,68f) (515,68f)
(bdd,ee3) (85,ee3)
(11b,53f) (3d3,53f)
(af,3ef) (247,3ef)
(3fd,589) (355,589)
(37,16d) (c7,16d)
(d,29f) (115,29f)
(1fa5,2339) (1a05,2339)
(6d,d7) (25,d7)
(573,967) (2e3,967)
(525,18a9) (1401,18a9)
(3c7,863) (517,863)
(1c1f,292d) (e9f,292d)
(1151,143f) (a61,143f)
(d1,103) (b9,103)
(71b,ac7) (793,ac7)
(25,ad5) (289,ad5)
(493,7a5) (7f,7a5)
(4b,187) (123,187)
(413,e0f) (15b,e0f)
(41,b9) (71,b9)
(143,9e9) (8cf,9e9)
(329,b33) (581,b33)
(26b,1963) (1483,1963)
(a1f,b41) (33b,b41)
(197b,22df) (3d3,22df)
(997,1e83) (1537,1e83)
(59,221) (e9,221)
(1843,1aed) (15eb,1aed)
(625,6e3) (9d,6e3)
(1d23,1f2b) (9eb,1f2b)
(157,263) (67,263)
(71,155) (4d,155)
